word,probability
1883,6.0471538842526674e-05
160,5.0477288699096535e-05
380,1.4801610971915524e-05
2719,2.53018990972915e-07
49,7.755032073319844e-05
402,6.0724557833499585e-06
39,8.95687228044119e-05
83,4.895917475325904e-05
82,4.5922946861584065e-05
833,3.4157563781343516e-06
84,4.807360828485384e-05
52,8.425532399398068e-05
180,7.097182696790264e-05
356,1.7458310377131133e-05
85,9.273146019157333e-05
93,5.2754459617852766e-05
360,4.3645775942827826e-05
1926,0.00013650374562988762
1924,0.00014940771416950628
68,6.09775768244725e-05
853,3.921794360080182e-06
3319,7.590569729187448e-07
1966,0.0002876825927362043
3019,1.1385854593781173e-06
4000,2.694652253861544e-05
120,9.804485900200455e-05
1851,5.452559255466317e-05
1865,7.590569729187448e-05
1876,7.274295990471305e-05
1879,6.540540916649851e-05
1899,8.71650423901692e-05
1916,0.00013106383732396995
1984,0.0003676365938836454
1867,7.767683022868489e-05
1874,6.123059581544542e-05
1892,7.071880797692973e-05
1904,9.968948244332849e-05
606,3.7952848645937244e-06
193,1.1765383080240545e-05
89,3.668775369107267e-05
114,1.859689583650925e-05
88,5.8573896410229814e-05
62,6.667050412136309e-05
158,1.1385854593781173e-05
1915,0.00012170213465797209
10446,1.265094954864575e-07
24454,1.265094954864575e-07
1331,2.7832089007020645e-06
1414,4.807360828485384e-06
1646,1.1132835602808258e-05
560,8.602645693079108e-06
3956,1.265094954864575e-07
11267,1.265094954864575e-07
"58,84%",1.265094954864575e-07
682,1.3916044503510323e-06
112,1.7837838863590505e-05
4%,3.466360176328935e-05
745,3.5422658736208092e-06
505,3.162737387161437e-06
"7,6%",2.7832089007020645e-06
68%,7.717079224673906e-06
104,2.6693503547642528e-05
97,4.503738039317886e-05
98,6.00920103560673e-05
277,3.921794360080182e-06
1305,3.7952848645937244e-06
1842,4.5290399384151776e-05
493,3.2892468826478945e-06
1%,5.680276347341941e-05
1555,1.1259345098294715e-05
1562,7.211041242728076e-06
1563,9.614721656970769e-06
1577,8.223117206619736e-06
1578,1.151236408926763e-05
1583,7.590569729187449e-06
1584,1.0373778629889512e-05
752,2.403680414242692e-06
25000,2.53018990972915e-07
